제목,내용
단 한번 그리움의 심장을 지킬 수 있는 달빛의 골목길을 쌓아,"그리움의 시작 아름다움의 기초가 됩니다
그래서 누구나 가까이에
하얀 심장 소리가 들릴 수 있는
어머니가 기워놓은 봄날의 향기
별들의 마음은 하나의 심장을 가지게 됩니다.
눈물 한 방울로 기다리는
햇살이 비쳐옴을 알아가는
안개 사이에 노래의 뭉치 속에 숨겨놓은
고운 햇살의 책장을 넘기는
사락거리는
달빛 위를 걸어가는 소리
이제 한 번에
첫눈처럼 넘겨볼 때마다
동굴 속에 숨어져 있는
생각의 거미줄에서
혼자만의 애태움은 하얀 숲의 길을 찾아냅니다
그것은 그리움의 심장
별들의 두근거림
행복이 비치는 마음이 숲속
그렇게 한 장의 사진 속에도
멈추어 있는
노래의 종탑이 보이는
종달새의 고운 느낌의 새소리가
이제 별 하나의 마음을 읽어
그림처럼 노래의 생각을 정돈하게 하는
아름다움의 느낌
이른 숲들의 아침 저편
보라색 기도 소리가 들려오는
싸리잎의 울타리
그리고 반달의 처마 끝에 달린
스스로 물방울이
저녁 하늘로 곱게 비치는
나뭇잎 한달음에
풍경을 달아두고
노란 종소리가 당신의 마음에 닿을 수 있도록
별빛이 되어 빛나도록 걸어오고 있습니다."
가을비 오던 날,"창가에 흐르는 빗방울 보니
꿈속에서 볼 수 있는 얼굴들
방울방울 아련히 떠오르며
가슴을 흔들어 놓는다
주마등처럼 스쳐간 세월
지난 추억 속에 남아 있는 얼굴
허옇게 백발이 되어도
죽도록 그리운 인자하신 어머니
창가로 다가가 안녕하시냐고
흐르는 빗물에 묻는다
작별한 이후로
생사초차 알 수 없는 아픔에도
가슴에 옛 모습 그대로 남아
빗방울 흐르는 창에 뜬 어머니
그 볼에 입맞춤하는 나
비는 마냥 흘러내리고"
추석,"과수원 새들마저 짝 짜릉 짜짜르응
밤사이 별이야기랑 눈뜨자마자 전하자
깨소금 볶아 으깬 내음새 방안가득
밤 까기 도란도란 달력을 바로 놓고
과수원 사과알들이 줄다리기 순서다
순서를 기다리는 햇볕이 열리는 창문에다
시 쓰는 메모리를 얌전히 올리느라
메모지 환한 추석이 내게 있어 좋아라"
예쁘다,"우리말 예쁘다가
가운데 입술로 하는 그대말씀 예삐요
그대의 예쁜말씀 지혜의 의미이다
날이면 날마다를 책한권 만들면서
드디어 문학관에게 내 책 올린 예삐요
굽굽이 물이 도는 이 퇴계 거기까지
남동생 차로 가니  고마워 정말로는
하나님 은혜이어서 더 이상에 좋아요"
진심이 담긴 나의 책,"놓아요 더러더러 잘못된 오저에도
책 한권 오래세월이 소중해서 좋아요
내 조상 문학관에 인터넷 여기저기
이영지 이름으로 진심이 전해지니
죽어도 좋을 만큼 고마와요? 좋아요
예뻐요 내 마음이 훨훨훨 날개달고
그대의 날 사랑한 이야기 꿈에서나
입술로 다 못전해도 기분좋아 좋아요
고요히 속삭이듯 달콤콤 부드러이
들리는 말씀들을 속속이 적어놓은
보따리 풀리어지는 선물로만 좋아요"
인연,"함께 애도한다거나 축하해줄 수 있는 사이
이해타산만이 아닌 무언가 가슴에 와닿는
아낌없이 격려와 응원으로 곁을 지켜줄 정분
늘상 부족한 나를 소중하게 생각해줄 관계
서로의 삶에 귀중한 시간이되어 스며들 연분
진정한 인연에 배려와 최선을 다하는 연줄
기억되는 그 모습마저 보약같은 애정의 향기
눈부신 햇살처럼 빛날 잔잔한 일상 속 기쁨
변함없이 참된 깊은 정 이어갈 진심어린 마음"
그렇게 아침의 여백에 보내온 가을,"그 다음 장에 남겨놓은 아련함
강물의 처음 기다림이 되는
언제가 달빛이 되는
아름다움의 시작은
아름다움의 순간에도
별들의 메마른 거친 한 면을 알게 됩니다.
그것은 비가 오지 않는
하얀 들판 위에
작은 샘물
이슬비가 오기를 기다려
곱게 마음을 단장하고
노란 우산 아래 고운 햇살을 만져
소낙비 언덕이
모래성을 지나 골짜기에 오도록
어느 날 푸른 하늘로 살며시
엿들어 보고자 하는 그 마음을 알게 됩니다
이제 작은 공간에 넣어놓은
나비들의 날갯소리
소낙비가 들려오는
이슬비 마음이 오면
별빛이 되어 후드득 떨어지는 그 고요함
어느 순간에 강물이 되고
골짜기가 되어
산골짜기가 있는 저녁을 거칠게 흘러가
저녁 풍경을 그리고
산까치의 울타리 안에도
노래의 시간이 고이도록
고요함의 연못과
시냇물의 순간에도 살며시
하얀 꿈이 넘치도록
그리움이 심어지면
견고하고 푸르러지는
천년의 지붕이 가지고 있는
고운 새들의 날아오는
마음에 고요함과 아련한 느낌이 순식간에 고이는
처음과 나중이 동시에 빗물처럼 물려오게 됩니다."
부끄럽다,"전부 무효다.
홀로 이별을 고하고,
그 슬픔도 무효다.
그 이별도 모두 무효다.
그래서 가을이면 부끄럽다.
제자리로 돌아가려는 것들의
발목을 잡으며
슬프다는 핑계를 댄 내가,
이별이란 누명을 씌운 내가
이 가을이 되면 부끄럽다.
얼굴이 새빨개지도록
부끄럽다."
가을 세 잔,"안개 낀 강둑보며
커피 한 잔
점심엔
그대 생각하며
국화차 한 잔
저녁엔
낙화의 애도를 표하며
소주 한 잔"
사랑을 느낄 즈음,"사랑을 느낄 즈음 내게로 와서
이미 내 안에 자리 잡은 너를
비틀고 째고 쪼개고 두들겨서 빼어낸들
몇 바늘 꿰매어 떠난 자리 봉합한들
깊고도 깊은 통증이여 사랑니여,
한번 온 사랑이 어딜 가겠는가"
우리 동네 원장님2,"진지한 목소리로 말한다
원장님은 천사 같아
하얗게 웃는 모습이 꼭 천사 같아
나는 못 들은 채 지나치며
복사꽃이 만발한 창가를 바라보았다
복숭아나무와 자두나무는
말이 없지만 찾는 사람이 많아
그 밑에 절로 길이 생긴다는
사마천의 말을 떠올리며"
국화,"허공 나는 새
거슬림 없이
자연의 흐름 따라
평화스럽게
가을의 여인
기다림은 향기로
너를 사랑해"
순리대로 살기,"감탄사도 무색해져
멍하니 바라보니
어둠 안으로
금세 사라지며
순리대로 가볍게 살라고
그 모습이 얼마나
아름다운 모습이냐며
가슴을 쿵 울리고 사라진다."
철새들이 길을 떠난다,"떠난 사람들은
돌아오지 않는데
돌아온 길 찾아
먼 길을 떠나는지
이른 아침
자유로를 달리며
내 길을 생각한다
어젯밤 꿈속에서
오랜 벗들 만나 웃었지"
삼소굴 일기17,"티 없는 세상
어디 있으랴.
흐르는 물에도
때가 있고
부는 바람에도
티가 묻어 있나니,
하여도
사람의 때는
물로 씻기우고
사물의 티는
바람으로 씻겨 가는 것을
무엇으로
내 안에 나를
보시려 하시는가."
삼소굴 일기16,"나의 하루는
서원으로 시작합니다.
눈 나리는 길 따라
오시는 그림자,
당신이 저에게로 오심을
그러한 당신을
가장 먼저 뵈올 수 있음이
저에겐 행복입니다.
늘 나의 길을
열어주시며
믿음이 무엇인지
가르침이 무엇인지를
느끼게 하여 주시는,
내 안에 오롯이
당신 계심을 믿기에
언제나 저는
미쁨입니다."
국화 꽃 앞에서,"인고를 겪으며 핀 꽃의 영혼
인자한 품위를 지닌 국화
꽃잎을 가냘프게 펼친
적나라하게 보여주는 소박한 자태
찬란한 가을이 만든 고운 품성
꽃을 더 고귀하게 한다
진실을 들어내는 고결함
요염하고 화사함이 어울린 향기
노란 얼굴에 담은 맑은 미소
그윽하게 가을이 영근다
고난과 시련 속에
누구나 부러워 할 겸손한 자태
생애에서 얻은 은은한 향기
포근하고 맑은 미소는
여염집 아낙이라 할까"
어느 날 마음에 아련한 시림이 있어도,"고운 대문들의 집에
송알송알 싸리잎으로 만들고 있는
오월의 눈꽃 송이를 가진
별들의 마음들이
나비들에게 보내온
무지개 소낙비를 아직 받지 못해
서성거리며 서 있는 그 눈물의 소리의 가을 하나
한 겹 두 겹 꽃잎의 대문들이 걸어두고 있는
고운 새소리들의
노란 종소리가
어쩌면 천 번을 울려야
가는 귓소리로 그 마음의 무너짐을 알아가는
은빛 모래의 기억을 가져와
고운 느낌속 해 오름처럼
빛나게 네모남을 잘라낸
싸리나무들의 작은 시간은
반달의 은근함이 있는 아침을 앞마당에 쌓아둡니다.
이제야 무지개 메아리 안에
우산을 들고 서 있는
아침에 고운 해들이 기다리는
종일토록 수고하는
앞산의 기둥에 감아놓은
하얀 손만 대어도
마음의 불꽃으로 다시 타오르는 것
나리꽃의 기다림
어쩌면 그 아픈 마음을
나비들의 수선가게에 맡겨두고
노래를 열두 번이나 누빈
아침이슬이 만든 순수의 빛남은 곱게만 합니다 .
고요함이 기다리는 골목
파란 눈을 가진 별하나
아름다움과 초록색을 구분하고 싶은
천사의 마음으로
그 신비로움을 비추어
순수라는 하얀 시간들이
언제나 눈물의 처음 페이지에는 강물이라는 등불을 하나 밝혀두고자 합니다"
오늘은,"어제까지만 해도 쓸데없는 걱정들을 많이 했다.
어제까지만 해도 하나님께 구하는 기도 때문에 바빴다.
이제는 내게 놓여진 현실에 무제한 감사의 마음을 드리기로 하자.
어제까지만 해도 감사를 드릴 줄 몰랐다.
인연이 되어준 사람마다 고마움을 느끼고 감사를 채비하기로 하자.
어제까지만 해도 많은 일들을 타인에게 미루었다.
봉사를 하기 위해 성실한 마음을 간직하고 살기로 하자.
어제까지만 해도 분수를 모르는 바보로 살아왔다.
분수를 알고 달성할 수 없는 꿈과 목표는 포기하기로 하자.
어제까지만 해도 지나친 욕심을 갖고 살아왔다.
내 마음에 생겨나는 욕심의 가지들을 이제는 쳐버리기로 하자.
어제까지만 해도 수용적인 삶을 위해 노력하지 않았다.
옳습니다. 좋습니다. 라는 수용적인 삶을 살기로 하자."
가을 들꽃,"당신과는
무관 하다오
그러니
스쳐지나가는 당신이
오늘
내게 잠시
눈인사를 건넨 것과는 상관없이
난 정해진 내 자리
이곳에서
때맞추어 피어난
들꽃으로 존재하는 거라오
나만의
작은 꽃술
곱게 펼쳐가면서
나만이
품은 향기
은은히 뿜어내면서
나의 나됨으로
당당하게
오늘을
살아가고 있는 거라오"
행복승리,"시련과 고뇌마저 이겨낼 힘든 여정
그 어떤 모진 풍파도 헤쳐나가기를
지혜와 슬기로 더욱 담금질 하는 삶
얼마든지 마음껏 그려보는 희망처럼
행복 기쁨 널리 추구하고픈 인생 행로
기대하고 요구한 만큼 노력하는 열정
같은 방향 향해 나아가는 마음의 여유"
초록색 바람의 깊이에 있는 숲속,"아련한 첫눈의 기어와 나사로
꿈의 시간을
언제나 처음으로 조립하고
편지 한 장의 머리말
그리움이라는 애태움의 조각칼로
매끄러움을 잘라
순수의 시작이라는 그림자를 새겨봅니다.
때론 마음에 알 수 없는
연못이라는 함정이 숨어있어.
이렇게 생각의 늪을 가져야 함을
혹은 세모의 중간에 있는
빗변과 밑변의 알 수 없는
그 넓이와 매듭으로
바람과 느낌을 한마디 손수레에 실어 옵니다
그렇게 멀리 강언덕이
아직도 봄이라는 알 수 없는
나비의 고요함이 보이면
그리움을 위해
때론 아픔도 사랑할 수 있는
그 강물 같은 흘러감과
그 안에 심어있는
별들의 합창들이 가지는
살며시 느낌으로만 불러 보는
꿈의 마음 가까이
초록색의 빛남이 들려오면
동화 속에 하얀 나무가 되고자 하는 눈물을 알려줍니다
그렇게 슬픔의 언덕에 있는
아직은 봄이 되지 못한
겨울 같은 두 마디의 단어
아직도 기다림이라는
안개꽃의 시린 손끝에
언제나 깊은 사랑은
편지 한 장의 첫 줄에 느낌으로 쓰이고 있음을
그리움의 숲속에서
별들의 한 페이지에 있는
초록색의 음악회의 처음엔 첫눈이 있음을 알게 됩니다."
수고하는 삶,"두 손 모아 좀 더 눕자 하니
가난이 떼로 몰려온다
먹고 마시며
땀 흘려 수고하는 가운데
즐거움이 있나니
이 또한
하나님 손에서 나는 것이로다"
다 잘될 거야,"걱정하지 마, 다 잘될 거야
네 미소에 봄날이 오기까지
시간이 조금 필요할 뿐
조급해지지 마
그래, 다 잘될 거야"
까치밥,"남김없이 내려놓겠다고
얼굴 붉혀 회개해 놓고서
가장 높은 곳에 매달아 둔
그리움 하나"
달빛 고운 항아리에 담아놓은 봄과 여름,"그리움의 마음을 가지고 있는
안개의 비탈길에
나비들의 아침을 마중 나가고
꽃의 뜰 안에 만들어 놓은
아침 햇살이 이슬비라는
고요 함안에 흔들리지 않는
따듯함이라는 차 한 잔을 가져다 놓습니다
이렇게 숲이 되는
그리움의 시간
하얀 색종이를 주고
다시 달빛 노을의 붉은 색종이를 가지면
노래의 중심을 건너갈 수 있는
붉은빛 색연필로
아름다움의 마음이
이렇게 곱고 선명하게 보이도록
굵고 진한 징검다리는 만들어
봄과 여름은
소낙비가 오기 전
개울을 건너
안개꽃의 정원이 있는
하얀 숲속의 느낌표 안에 오게 됩니다.
나비의 일상이 별을 보고
바람의 마음을 읽어
강물의 처음으로 날아갈 수 있는
위치와 마음 씀씀이를
스스로 고운 생각에 물어
결정해야 하는
노란 숲의 향기 반복이라면
이렇게 고운 새들의
실로폰에 매달린
은빛 종소리들의 날개에서
당신의 마음이 따뜻해지도록
살며시 밀려오는
노래의 인고와 심장을 가진
아침노을의 붉은 어깨를 빌려와
가냘픈 종달새가 봄과 여름의 마음을 물어오게 합니다"
가을 들길에는,"그녀와 손잡고 걷던 그 길
그리움이 깊게 묻혀있다
더위로 숨이 막히던 길
가을이 들어 선 들길을 걸으니
시원하게 확 뜨인 길이라
가슴마저 확 뜨인다
햇살 내리는 가을 길
한가로이 걸어가다 보면
사랑 안고 떠나는 나 닮은 낙엽
아쉽게 손을 흔들어 보낸다
사철 자리 지키는 들꽃
갈바람 정기 돋우며 스쳐가고
영혼마저 순결해 지는 들길
그녀가 떠오르고"
